"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"860Z200US11786","ZCTA5 11786","6459","1001",
"860Z200US11787","ZCTA5 11787","34499","1736",
"860Z200US11788","ZCTA5 11788","17374","987",
"860Z200US11789","ZCTA5 11789","7369","1090",
"860Z200US11790","ZCTA5 11790","21074","1184",
"860Z200US11791","ZCTA5 11791","25520","1521",
"860Z200US11792","ZCTA5 11792","8904","877",
"860Z200US11793","ZCTA5 11793","32349","1668",
"860Z200US11794","ZCTA5 11794","831","338",
"860Z200US11795","ZCTA5 11795","25379","1841",
"860Z200US11796","ZCTA5 11796","3560","499",
"860Z200US11797","ZCTA5 11797","9402","832",
"860Z200US11801","ZCTA5 11801","41585","2015",
"860Z200US11803","ZCTA5 11803","29713","1566",
"860Z200US11804","ZCTA5 11804","4835","643",
"860Z200US11901","ZCTA5 11901","33091","1383",
"860Z200US11930","ZCTA5 11930","842","189",
"860Z200US11931","ZCTA5 11931","27","41",
"860Z200US11932","ZCTA5 11932","725","290",
"860Z200US11933","ZCTA5 11933","6693","799",
"860Z200US11934","ZCTA5 11934","9418","1139",
"860Z200US11935","ZCTA5 11935","2863","425",
"860Z200US11937","ZCTA5 11937","21882","1055",
"860Z200US11939","ZCTA5 11939","1331","335",
"860Z200US11940","ZCTA5 11940","5819","614",
"860Z200US11941","ZCTA5 11941","2814","522",
"860Z200US11942","ZCTA5 11942","5406","916",
"860Z200US11944","ZCTA5 11944","5037","522",
"860Z200US11946","ZCTA5 11946","15819","1579",
"860Z200US11947","ZCTA5 11947","148","148",
"860Z200US11948","ZCTA5 11948","924","326",
"860Z200US11949","ZCTA5 11949","14563","1254",
"860Z200US11950","ZCTA5 11950","17599","1523",
"860Z200US11951","ZCTA5 11951","15938","1963",
"860Z200US11952","ZCTA5 11952","5040","852",
"860Z200US11953","ZCTA5 11953","12846","1182",
"860Z200US11954","ZCTA5 11954","4223","883",
"860Z200US11955","ZCTA5 11955","2458","225",
"860Z200US11956","ZCTA5 11956","298","158",
"860Z200US11957","ZCTA5 11957","1121","262",
"860Z200US11958","ZCTA5 11958","884","235",
"860Z200US11959","ZCTA5 11959","734","312",
"860Z200US11960","ZCTA5 11960","830","310",
"860Z200US11961","ZCTA5 11961","12315","1346",
"860Z200US11962","ZCTA5 11962","712","311",
"860Z200US11963","ZCTA5 11963","8390","1066",
"860Z200US11964","ZCTA5 11964","2906","564",
"860Z200US11965","ZCTA5 11965","404","278",
"860Z200US11967","ZCTA5 11967","27975","2442",
"860Z200US11968","ZCTA5 11968","15312","1541",
"860Z200US11970","ZCTA5 11970","416","336",
"860Z200US11971","ZCTA5 11971","6361","781",
"860Z200US11972","ZCTA5 11972","334","280",
"860Z200US11973","ZCTA5 11973","48","10",
"860Z200US11975","ZCTA5 11975","450","170",
"860Z200US11976","ZCTA5 11976","2952","637",
"860Z200US11977","ZCTA5 11977","2843","793",
"860Z200US11978","ZCTA5 11978","4705","676",
"860Z200US11980","ZCTA5 11980","5855","889",
"860Z200US12007","ZCTA5 12007","331","193",
"860Z200US12008","ZCTA5 12008","422","249",
"860Z200US12009","ZCTA5 12009","7934","567",
"860Z200US12010","ZCTA5 12010","27750","879",
"860Z200US12015","ZCTA5 12015","3852","358",
"860Z200US12017","ZCTA5 12017","471","151",
"860Z200US12018","ZCTA5 12018","7422","875",
"860Z200US12019","ZCTA5 12019","15555","1006",
"860Z200US12020","ZCTA5 12020","34937","1071",
"860Z200US12022","ZCTA5 12022","1120","276",
"860Z200US12023","ZCTA5 12023","1791","404",
